iter	RMSE
0	14.85548814
1	14.02235957
2	13.25886488
3	12.61469402
4	12.07043991
5	11.52761111
6	11.05536549
7	10.60557245
8	10.19420147
9	9.837596243
10	9.521833312
11	9.23294012
12	8.971934737
13	8.72191411
14	8.509707078
15	8.30994228
16	8.124010109
17	7.959025301
18	7.782412629
19	7.631238131
20	7.493862982
21	7.335474533
22	7.209299034
23	7.093897065
24	6.996192923
25	6.886209491
26	6.788170699
27	6.681613989
28	6.586778217
29	6.502823347
30	6.429905622
31	6.349526089
32	6.272063409
33	6.208565413
34	6.140749326
35	6.071861265
36	6.031690518
37	5.979809358
38	5.927489596
39	5.872109477
40	5.831814493
41	5.775229192
42	5.746307509
43	5.706296132
44	5.669024266
45	5.620562509
46	5.579224044
47	5.542599344
48	5.504878789
49	5.479335318
50	5.449780167
51	5.425951394
52	5.40135464
53	5.366381513
54	5.332713278
55	5.317300454
56	5.289757991
57	5.270544888
58	5.253914117
59	5.230419715
60	5.210341423
61	5.184406262
62	5.167045059
63	5.149386546
64	5.128506898
65	5.116922239
66	5.104134458
67	5.092768118
68	5.073863898
69	5.058180442
70	5.043627748
71	5.033512911
72	5.013138092
73	4.99979183
74	4.987967177
75	4.97461053
76	4.962289087
77	4.945551868
78	4.926845951
79	4.912870781
80	4.904089357
81	4.897475104
82	4.882186896
83	4.866260039
84	4.856478347
85	4.847672507
86	4.839576125
87	4.830975902
88	4.819701794
89	4.812952557
90	4.804256041
91	4.798880882
92	4.793988208
93	4.778601097
94	4.770187643
95	4.763620527
96	4.75222313
97	4.746252092
98	4.739694671
99	4.731780986
100	4.725045313
101	4.713662692
102	4.709529589
103	4.699787624
104	4.689132159
105	4.682706964
106	4.672793283
107	4.667830877
108	4.662338168
109	4.657403977
110	4.651340226
111	4.642273813
112	4.636808476
113	4.629724827
114	4.621955153
115	4.617595823
116	4.61204627
117	4.60432937
118	4.596868448
119	4.592578595
