iter	Passed	Remaining
0	172	20486
1	174	10266
2	175	6860
3	177	5152
4	179	4128
5	181	3449
6	183	2959
7	185	2592
8	186	2305
9	188	2075
10	190	1886
11	192	1729
12	193	1596
13	196	1484
14	197	1385
15	199	1298
16	201	1221
17	203	1153
18	205	1091
19	207	1035
20	209	985
21	210	939
22	212	896
23	214	857
24	216	822
25	218	788
26	219	757
27	221	728
28	223	701
29	225	675
30	227	652
31	229	630
32	231	609
33	232	589
34	234	570
35	236	552
36	238	534
37	240	518
38	242	502
39	244	488
40	246	474
41	247	460
42	249	447
43	251	434
44	253	422
45	255	410
46	257	399
47	259	388
48	261	378
49	263	368
50	264	358
51	266	348
52	268	339
53	270	330
54	272	321
55	274	313
56	276	305
57	278	297
58	279	289
59	281	281
60	283	274
61	285	266
62	287	259
63	289	252
64	290	246
65	292	239
66	294	233
67	296	226
68	298	220
69	300	214
70	302	208
71	303	202
72	305	196
73	307	191
74	309	185
75	311	180
76	312	174
77	314	169
78	316	164
79	318	159
80	320	154
81	322	149
82	324	144
83	326	139
84	327	134
85	329	130
86	331	125
87	333	121
88	335	116
89	337	112
90	339	108
91	340	103
92	342	99
93	344	95
94	346	91
95	347	86
96	349	82
97	351	78
98	353	74
99	355	71
100	357	67
101	358	63
102	360	59
103	362	55
104	364	52
105	366	48
106	368	44
107	369	41
108	371	37
109	373	33
110	375	30
111	377	26
112	379	23
113	380	20
114	382	16
115	384	13
116	386	9
117	388	6
118	390	3
119	391	0
